"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
2285,0,82.7,0.08,4.17,1.14,0.04,8.46,3,26,3e+07,87000,192,3,0,51800000,1,16,3,2
1171,0.23,84.8,0,2.77,3.31,0,7.23,2,35,625000,9000,190,3,1,1300000,1,2565,5,1
3060,0,68.2,0,0,0.06,0,5.38,1,23,5e+06,36000,188,4,1,9900000,1,13,1,4
99,0,89.6,0,1.82,0,0,3.64,3,30,2e+07,81000,183,19,1,33000000,1,16,3,2
341,0,95.2,0,3.68,5.26,0,5.79,2,33,2e+06,60000,195,5,1,3400000,1,2247,3,1
2537,0.11,81,0.35,2.91,2.06,0,8.79,2,27,83500000,175000,178,49,0,160700000,1,431,1,5
2537,0.11,81,0.35,2.91,2.06,0,8.79,3,18,650000,500,176,4,1,1800000,1,1239,17,2
1409,0.06,89.5,0,3.38,3.18,0,9.68,2,26,31500000,49000,185,5,0,55900000,1,11,3,1
2927,0.12,91.3,0,2.18,2.86,0.03,8.77,2,27,1.2e+07,51000,192,115,1,21300000,1,10,3,3
856,0,77.1,0,4.21,0.42,0,5.68,3,25,5500000,19000,176,7,1,12000000,1,38,2,4
3035,0.09,88.4,0,2.85,3.26,0.03,8.43,2,28,34500000,130000,190,16,1,66400000,1,5,1,1
1865,0.05,79.1,0.14,3.33,0.39,0,7.25,4,22,11500000,34000,180,1,1,20400000,1,11,3,3
2804,0.16,72.2,0.16,0.96,0.06,0,5.74,3,24,26500000,41000,173,3,1,52300000,1,96,1,5
1134,0,89.7,0,3.57,1.43,0.16,9.84,3,21,7e+06,40000,183,1,1,14700000,1,13,1,5
1803,0.3,75.5,0.05,0.6,0.55,0,3.85,4,25,6500000,36000,181,33,1,11500000,2,130,3,4
1780,0,84.5,0.05,3.23,1.87,0,8.64,2,30,31500000,95000,180,2,0,52000000,2,16,3,2
571,0.16,83.5,0,3.81,2.22,0,6.83,3,28,1400000,19000,180,5,1,2500000,1,549,3,1
2175,0,71.4,0,0.04,0.08,0.04,5.12,1,29,8500000,34000,190,16,1,15100000,1,285,4,3
